,Unnamed: 0.1,index,NDVI,AWEI,NDWI,MNDWI,Unnamed: 0,DHSID_EA,cname,year,lat,lon,n_asset,asset_index,n_water,water_index,cluster_id,adm1dhs,urban,path
19,19,19,0.39789015,-0.11735861,-0.13861264,-0.35782555,20,IA-2015-7-00030236,IA,2015,27.551507896,93.112460149,22,-2.8321992668713,22,1.0,30236,3,R,dhs_train/IA-2015-7-00030236.npz
20,20,20,0.23409007,-0.20624763,-0.14467262,-0.34062934,21,IA-2015-7-00030240,IA,2015,27.602001112,95.819020205,21,-0.55356266468179,21,3.0952380952381,30240,3,R,dhs_train/IA-2015-7-00030240.npz
21,21,21,0.36870778,-0.3443542,-0.19612071,-0.39772493,22,IA-2015-7-00030266,IA,2015,27.6400017,95.944283649,20,-1.04737395846045,20,3.0,30266,3,R,dhs_train/IA-2015-7-00030266.npz
22,22,22,0.38844055,-0.18567549,-0.093819566,-0.37994245,23,IA-2015-7-00030269,IA,2015,27.150685802,93.203554482,20,-0.0172653419745388,20,3.0,30269,3,R,dhs_train/IA-2015-7-00030269.npz
23,23,23,0.31250715,-0.20324513,-0.16996908,-0.37998837,24,IA-2015-7-00030276,IA,2015,27.764306461,95.903228342,20,-0.34642175397532,20,3.0,30276,3,R,dhs_train/IA-2015-7-00030276.npz
24,24,24,0.23226076,-0.35782632,-0.14491805,-0.3408744,25,IA-2015-7-00030281,IA,2015,27.498106431,96.074604913,22,0.126569627100581,22,3.09090909090909,30281,3,R,dhs_train/IA-2015-7-00030281.npz
25,25,25,0.40840855,-0.3182977,-0.13910258,-0.36705905,26,IA-2015-7-00030289,IA,2015,28.18930612,94.114855096,22,0.804679969127257,22,2.81818181818182,30289,3,R,dhs_train/IA-2015-7-00030289.npz
26,26,26,0.32003257,-0.46343613,-0.20885389,-0.3858614,27,IA-2015-7-00030313,IA,2015,27.577851614,95.945775725,22,-1.32717018926482,22,3.0,30313,3,R,dhs_train/IA-2015-7-00030313.npz
27,27,27,0.22795738,-0.2814141,-0.1138365,-0.4088154,28,IA-2015-7-00030314,IA,2015,27.63609666,95.900612653,21,0.21041220165946,21,3.0,30314,3,R,dhs_train/IA-2015-7-00030314.npz
28,28,28,0.34494233,-0.14496407,-0.105756536,-0.36201268,29,IA-2015-7-00030403,IA,2015,27.472425946,93.074147263,18,-1.6533730666668,18,2.33333333333333,30403,3,R,dhs_train/IA-2015-7-00030403.npz
29,29,29,0.10757405,0.12650675,0.016866792,-0.39148903,30,IA-2015-7-00030420,IA,2015,27.679155319,95.849182833,21,0.437789939285893,21,3.0952380952381,30420,3,U,dhs_train/IA-2015-7-00030420.npz
30,30,30,0.23033969,-0.3736338,-0.15054235,-0.36672646,31,IA-2015-7-00030426,IA,2015,27.638078752,95.819466024,22,-1.53892703091208,22,3.0,30426,3,R,dhs_train/IA-2015-7-00030426.npz
31,31,31,0.27273473,-0.2870293,-0.1543251,-0.3812906,32,IA-2015-7-00030432,IA,2015,27.817740693,96.049795808,20,-1.07450359048737,20,3.1,30432,3,R,dhs_train/IA-2015-7-00030432.npz
32,32,32,0.3590686,-0.17912829,-0.15632969,-0.41990906,33,IA-2015-7-00030433,IA,2015,27.259197894,93.070855284,18,-1.38727456646842,18,2.33333333333333,30433,3,R,dhs_train/IA-2015-7-00030433.npz
33,33,33,0.23752812,-0.7114835,-0.15437914,-0.394658,34,IA-2015-7-00030467,IA,2015,27.564930575,95.999823896,21,0.715297824944358,21,3.14285714285714,30467,3,R,dhs_train/IA-2015-7-00030467.npz
34,34,34,0.34949467,-0.33319464,-0.18494771,-0.35079563,35,IA-2015-7-00030509,IA,2015,27.524007813,96.182347536,22,-0.0049562012153592,22,1.40909090909091,30509,3,R,dhs_train/IA-2015-7-00030509.npz
35,35,35,0.26000565,-0.29711875,-0.13221107,-0.43278292,36,IA-2015-7-00030521,IA,2015,27.666243553,95.899184295,22,-0.67012351353276,22,3.0,30521,3,R,dhs_train/IA-2015-7-00030521.npz
36,36,36,0.32635346,-0.061398495,-0.057242304,-0.3014055,37,IA-2015-7-00030548,IA,2015,26.920371761,95.491228601,22,0.0215857746748284,22,3.0,30548,3,R,dhs_train/IA-2015-7-00030548.npz
37,37,37,0.33642378,-0.08755133,-0.11416252,-0.35635963,38,IA-2015-7-00030581,IA,2015,27.514845186,93.017956852,18,-0.903703558781852,18,3.0,30581,3,R,dhs_train/IA-2015-7-00030581.npz
38,38,38,0.35147887,-0.6929711,-0.23813777,-0.42534137,39,IA-2015-7-00030588,IA,2015,28.035794744,95.318560122,21,0.264736694864825,21,3.0,30588,3,R,dhs_train/IA-2015-7-00030588.npz
39,39,39,0.16124128,-0.27930266,-0.07232505,-0.33063987,40,IA-2015-7-00030625,IA,2015,27.515970452,95.892854345,16,0.577617191069099,16,3.0,30625,3,R,dhs_train/IA-2015-7-00030625.npz
40,40,40,0.2559271,-0.25994515,-0.092135996,-0.3518691,41,IA-2015-7-00030642,IA,2015,27.068182093,93.830093673,20,0.22865812267562,20,3.05,30642,3,R,dhs_train/IA-2015-7-00030642.npz
41,41,41,0.27470082,-0.4508962,-0.19218741,-0.37556633,42,IA-2015-7-00030649,IA,2015,27.899812567,95.545346597,21,0.700888905796959,21,3.0952380952381,30649,3,R,dhs_train/IA-2015-7-00030649.npz
42,42,42,0.26594466,-0.30451557,-0.16287681,-0.3596967,43,IA-2015-7-00030654,IA,2015,27.891344357,96.07039756,21,0.0897812743547879,21,2.9047619047619,30654,3,R,dhs_train/IA-2015-7-00030654.npz
43,43,43,0.31356198,-0.39793843,-0.14844023,-0.4018349,44,IA-2015-7-00030669,IA,2015,28.801205248,94.239107023,19,0.617121175056923,19,1.0,30669,3,R,dhs_train/IA-2015-7-00030669.npz
44,44,44,0.27826968,-0.22375654,-0.1435352,-0.3506802,45,IA-2015-7-00030673,IA,2015,28.157266939,95.750553178,20,1.2679071813507,20,3.1,30673,3,R,dhs_train/IA-2015-7-00030673.npz
45,45,45,0.42063528,-0.2182301,-0.14527553,-0.4325723,46,IA-2015-7-00030681,IA,2015,28.27300494,94.128715395,21,0.9459366289578,21,2.71428571428571,30681,3,R,dhs_train/IA-2015-7-00030681.npz
46,46,46,0.38263687,-0.34038675,-0.21138854,-0.39737004,47,IA-2015-7-00030688,IA,2015,27.506552909,96.259244429,22,-0.545003088093867,22,2.40909090909091,30688,3,R,dhs_train/IA-2015-7-00030688.npz
47,47,47,0.29244965,-0.5543559,-0.22765619,-0.5112,48,IA-2015-7-00030692,IA,2015,27.615784519,91.840855592,22,0.357705794398715,22,3.0,30692,3,R,dhs_train/IA-2015-7-00030692.npz
48,48,48,0.371496,-0.38265347,-0.15791845,-0.39124784,49,IA-2015-7-00030700,IA,2015,27.556301984,96.32373806,22,-1.70015851198482,22,1.0,30700,3,R,dhs_train/IA-2015-7-00030700.npz
49,49,49,0.32423693,-0.16740987,-0.08425411,-0.31774807,50,IA-2015-7-00030704,IA,2015,26.697119301,95.343802431,22,-1.71386199878536,22,1.0,30704,3,R,dhs_train/IA-2015-7-00030704.npz
50,50,50,0.37195092,-0.3904274,-0.18203232,-0.41122296,51,IA-2015-7-00030706,IA,2015,28.791315607,94.263555193,20,0.833213401950242,20,1.55,30706,3,R,dhs_train/IA-2015-7-00030706.npz
51,51,51,0.3033246,-0.20338397,-0.045602243,-0.36835,52,IA-2015-7-00030736,IA,2015,27.015951772,95.212234066,21,-0.938933106297706,21,1.0,30736,3,R,dhs_train/IA-2015-7-00030736.npz
52,52,52,0.302698,-0.44130576,-0.19898088,-0.3584083,53,IA-2015-7-00030751,IA,2015,27.475448548,96.125978868,22,-0.177101967280304,22,2.72727272727273,30751,3,R,dhs_train/IA-2015-7-00030751.npz
53,53,53,0.29240727,0.051900163,-0.10565813,-0.32254577,54,IA-2015-7-00030820,IA,2015,27.971714582,95.881641868,19,-2.15229681077621,19,1.94736842105263,30820,3,R,dhs_train/IA-2015-7-00030820.npz
54,54,54,0.08799676,-0.031930365,0.014961933,-0.32099771,55,IA-2015-7-00040001,IA,2015,26.391023176,91.4253518392,22,0.406071747094477,22,3.13636363636364,40001,4,U,dhs_train/IA-2015-7-00040001.npz
55,55,55,0.3216715,-0.0110385,-0.062298164,-0.32226154,56,IA-2015-7-00040002,IA,2015,25.1723017327,93.149887157,21,-1.52211845534819,21,2.66666666666667,40002,4,R,dhs_train/IA-2015-7-00040002.npz
56,56,56,0.1092754,-0.15958205,-0.030807104,-0.36430773,57,IA-2015-7-00040007,IA,2015,26.1439614026,89.7819125292,20,-1.59712504285299,20,3.0,40007,4,R,dhs_train/IA-2015-7-00040007.npz
57,57,57,0.022723202,-0.018875016,0.022414254,-0.17534313,58,IA-2015-7-00040011,IA,2015,26.9282907436,94.1674960255,21,-1.25137784473316,21,3.0,40011,4,R,dhs_train/IA-2015-7-00040011.npz
58,58,58,0.07108446,0.4127554,0.058396153,-0.25345397,59,IA-2015-7-00040013,IA,2015,27.2929310285,95.7304949865,22,-0.750497951755297,22,2.90909090909091,40013,4,R,dhs_train/IA-2015-7-00040013.npz
59,59,59,-0.11979318,0.102591485,0.15431061,-0.18086433,60,IA-2015-7-00040014,IA,2015,26.1902332272,91.0783038802,20,-2.42932131870537,20,2.95,40014,4,R,dhs_train/IA-2015-7-00040014.npz
60,60,60,-0.038528945,0.19864154,0.10456429,-0.287084,61,IA-2015-7-00040024,IA,2015,26.4924266443,92.8046238384,18,-1.22446970183292,18,3.0,40024,4,R,dhs_train/IA-2015-7-00040024.npz
61,61,61,-0.07469801,0.32247528,0.1522883,-0.26163447,62,IA-2015-7-00040028,IA,2015,27.1014809462,93.9869747615,20,-1.53586071135753,20,3.0,40028,4,R,dhs_train/IA-2015-7-00040028.npz
62,62,62,0.29832625,-0.028978273,0.06883399,-0.47605175,63,IA-2015-7-00040035,IA,2015,26.1646647111,92.8589566984,22,-1.58826135341982,22,2.77272727272727,40035,4,R,dhs_train/IA-2015-7-00040035.npz
63,63,63,0.22875707,-0.40786195,-0.14138818,-0.3370256,64,IA-2015-7-00040039,IA,2015,26.4151056352,90.4166787916,22,-1.92149714198123,22,3.13636363636364,40039,4,R,dhs_train/IA-2015-7-00040039.npz
64,64,64,0.10834036,-0.10138547,-0.023982665,-0.29538676,65,IA-2015-7-00040044,IA,2015,26.4659252321,91.9244429284,21,-1.09169848782359,21,3.0,40044,4,R,dhs_train/IA-2015-7-00040044.npz
65,65,65,0.07190966,0.02596472,-0.0061074174,-0.3079688,66,IA-2015-7-00040050,IA,2015,25.9763857143,90.1325609975,22,-1.51915569703291,22,3.0,40050,4,R,dhs_train/IA-2015-7-00040050.npz
66,66,66,0.21467477,-0.18882413,-0.115312815,-0.33905837,67,IA-2015-7-00040051,IA,2015,27.3882462769,95.2109713688,21,-0.48441062283608,21,3.0,40051,4,R,dhs_train/IA-2015-7-00040051.npz
67,67,67,0.1402028,-0.042109583,-0.030441184,-0.34434894,68,IA-2015-7-00040053,IA,2015,26.3669268471,90.8194414498,22,-1.08532298393908,22,3.0,40053,4,R,dhs_train/IA-2015-7-00040053.npz
68,68,68,0.23762974,-0.48684928,-0.15370168,-0.4190024,69,IA-2015-7-00040055,IA,2015,26.8228824005,93.0820737249,21,-0.486868827991933,21,3.14285714285714,40055,4,R,dhs_train/IA-2015-7-00040055.npz
69,69,69,0.07878809,0.06953945,0.02539237,-0.3032401,70,IA-2015-7-00040059,IA,2015,26.1000530655,90.5442927734,22,-0.120480403482337,22,3.13636363636364,40059,4,R,dhs_train/IA-2015-7-00040059.npz
70,70,70,-0.046506472,0.4309938,0.13504122,-0.23842913,71,IA-2015-7-00040062,IA,2015,26.5507842961,90.7817990079,20,-2.3881196904067,20,3.15,40062,4,R,dhs_train/IA-2015-7-00040062.npz
71,71,71,0.10432439,-0.18973875,-0.035815343,-0.33119756,72,IA-2015-7-00040064,IA,2015,26.5443942568,91.5760850068,21,-0.557877888985228,21,3.0,40064,4,R,dhs_train/IA-2015-7-00040064.npz
72,72,72,0.16642813,-0.2954521,-0.08071392,-0.3394002,73,IA-2015-7-00040066,IA,2015,26.35271055,90.1210718643,21,-1.32109173684034,21,3.0952380952381,40066,4,R,dhs_train/IA-2015-7-00040066.npz
73,73,73,0.16947573,-0.089947455,-0.07219415,-0.38055736,74,IA-2015-7-00040081,IA,2015,27.3397376616,95.3962564995,22,-1.00393133778533,22,3.13636363636364,40081,4,R,dhs_train/IA-2015-7-00040081.npz
74,74,74,0.18515801,-0.1646541,-0.07120567,-0.35958445,75,IA-2015-7-00040086,IA,2015,26.4150515517,90.5850445415,21,-2.40470430264155,21,1.95238095238095,40086,4,R,dhs_train/IA-2015-7-00040086.npz
75,75,75,0.28619006,-0.17286229,-0.051347815,-0.34829447,76,IA-2015-7-00040088,IA,2015,26.6449669048,94.4218390719,22,-1.03599320053516,22,3.13636363636364,40088,4,R,dhs_train/IA-2015-7-00040088.npz
76,76,76,-0.00049367093,0.09855767,0.061469678,-0.25065595,77,IA-2015-7-00040099,IA,2015,26.344872815,92.1732424667,20,-1.67897966411463,20,3.0,40099,4,R,dhs_train/IA-2015-7-00040099.npz
77,77,77,0.14707604,-0.12745038,-0.08451411,-0.33874518,78,IA-2015-7-00040108,IA,2015,27.1936748143,94.4621557463,20,-0.79510163276495,20,3.0,40108,4,U,dhs_train/IA-2015-7-00040108.npz
78,78,78,0.17966972,-0.21027948,-0.051080704,-0.3745908,79,IA-2015-7-00040109,IA,2015,24.7385019921,92.5294871512,22,-2.3710299203761,22,2.54545454545455,40109,4,R,dhs_train/IA-2015-7-00040109.npz
79,79,79,0.061639924,0.2393113,-0.0101240035,-0.29063073,80,IA-2015-7-00040110,IA,2015,27.1593596394,94.7280700339,22,-0.584032017512315,22,3.0,40110,4,R,dhs_train/IA-2015-7-00040110.npz
80,80,80,0.0975922,-0.2847849,0.021255475,-0.3237062,81,IA-2015-7-00040113,IA,2015,27.5289549763,95.7778746501,21,-0.906023166767599,21,3.0,40113,4,R,dhs_train/IA-2015-7-00040113.npz
81,81,81,0.028897986,-0.13545866,0.052582346,-0.2874068,82,IA-2015-7-00040114,IA,2015,26.2878051234,92.4434548165,23,-0.739667178990704,23,3.08695652173913,40114,4,R,dhs_train/IA-2015-7-00040114.npz
82,82,82,0.16488545,-0.14225326,-0.06283005,-0.32550192,83,IA-2015-7-00040117,IA,2015,26.440844211,91.4466880114,20,0.0187099516433592,20,3.1,40117,4,U,dhs_train/IA-2015-7-00040117.npz
83,83,83,0.107679635,-0.16253075,-0.04305135,-0.3467613,84,IA-2015-7-00040121,IA,2015,26.5126074298,91.1169198135,22,-1.73845491355219,22,3.0,40121,4,R,dhs_train/IA-2015-7-00040121.npz
84,84,84,0.017536534,-0.15341061,0.038911793,-0.28335816,85,IA-2015-7-00040123,IA,2015,26.5709952181,91.2631404634,21,-0.915148083178614,21,3.14285714285714,40123,4,R,dhs_train/IA-2015-7-00040123.npz
85,85,85,0.06709072,0.28565785,0.049298946,-0.29731154,86,IA-2015-7-00040128,IA,2015,25.9362801723,91.1194452075,22,-0.393276471741627,22,3.13636363636364,40128,4,R,dhs_train/IA-2015-7-00040128.npz
86,86,86,0.0332676,0.1549368,0.033668682,-0.30290222,87,IA-2015-7-00040131,IA,2015,26.2792388759,91.1011422635,22,-1.34594933591398,22,3.0,40131,4,R,dhs_train/IA-2015-7-00040131.npz
87,87,87,0.00059033243,-0.34055957,0.004127335,-0.3374302,88,IA-2015-7-00040138,IA,2015,26.0122278272,92.9049858088,21,-0.0845376921788741,21,3.0,40138,4,R,dhs_train/IA-2015-7-00040138.npz
88,88,88,0.19876114,-0.5582433,-0.1544646,-0.37341732,89,IA-2015-7-00040139,IA,2015,27.4999449934,94.4808021326,22,-1.71637025266518,22,2.95454545454545,40139,4,R,dhs_train/IA-2015-7-00040139.npz
89,89,89,0.22027817,0.015492861,-0.010048294,-0.29075536,90,IA-2015-7-00040146,IA,2015,24.4083914861,92.5110482821,21,-2.19620219390332,21,1.61904761904762,40146,4,R,dhs_train/IA-2015-7-00040146.npz
90,90,90,0.018526357,-0.03446581,0.061114587,-0.28593934,91,IA-2015-7-00040150,IA,2015,26.555916857,91.7317692697,20,-0.659312681221771,20,3.0,40150,4,R,dhs_train/IA-2015-7-00040150.npz
91,91,91,0.109320015,-0.2338214,-0.059793025,-0.33941624,92,IA-2015-7-00040154,IA,2015,26.4743902464,91.1297636697,22,-1.43905895578945,22,3.0,40154,4,R,dhs_train/IA-2015-7-00040154.npz
92,92,92,0.076855674,-0.08305874,-0.0015477195,-0.31977475,93,IA-2015-7-00040156,IA,2015,25.90353211,92.9073034915,21,-0.756430736319326,21,3.0,40156,4,R,dhs_train/IA-2015-7-00040156.npz
93,93,93,0.02036913,-0.14865686,0.040861767,-0.28478393,94,IA-2015-7-00040157,IA,2015,26.5808580993,91.2716803876,22,-1.32008308517475,22,3.0,40157,4,R,dhs_train/IA-2015-7-00040157.npz
94,94,94,0.028858688,0.031226588,0.06949368,-0.2840323,95,IA-2015-7-00040160,IA,2015,26.4112661107,91.3501234478,21,0.414667347094763,21,3.0,40160,4,U,dhs_train/IA-2015-7-00040160.npz
95,95,95,0.11088161,-0.12955071,-0.03603071,-0.27055526,96,IA-2015-7-00040161,IA,2015,26.4583232892,90.9102283617,22,-0.372391475925477,22,3.09090909090909,40161,4,R,dhs_train/IA-2015-7-00040161.npz
96,96,96,0.09027406,-0.10430981,0.008771971,-0.3526727,97,IA-2015-7-00040164,IA,2015,24.8204723615,92.5000622487,22,-0.785735007589756,22,2.90909090909091,40164,4,R,dhs_train/IA-2015-7-00040164.npz
97,97,97,0.044962432,0.24546926,0.07269924,-0.25493416,98,IA-2015-7-00040165,IA,2015,26.1854764941,89.7550811547,21,-1.99913591322143,21,3.0,40165,4,R,dhs_train/IA-2015-7-00040165.npz
98,98,98,-0.013862605,0.0924424,0.10114686,-0.30810463,99,IA-2015-7-00040166,IA,2015,26.278670666,90.6652830913,21,-1.4197272563581,21,3.0952380952381,40166,4,R,dhs_train/IA-2015-7-00040166.npz
99,99,99,0.059284665,0.31839406,0.04533666,-0.24856173,100,IA-2015-7-00040167,IA,2015,27.1816603217,94.2720174168,19,-0.773686215428301,19,3.0,40167,4,R,dhs_train/IA-2015-7-00040167.npz
100,100,100,0.02463172,0.4073547,0.09056285,-0.27107584,101,IA-2015-7-00040169,IA,2015,26.3710427452,92.6413816581,21,-0.771019632375526,21,3.0,40169,4,R,dhs_train/IA-2015-7-00040169.npz
101,101,101,-0.0063175396,0.58985966,0.11411814,-0.2186966,102,IA-2015-7-00040170,IA,2015,26.4186115962,92.7633625669,20,-1.86938892618143,20,3.0,40170,4,R,dhs_train/IA-2015-7-00040170.npz
102,102,102,0.24681935,-0.55696166,-0.16455932,-0.3710632,103,IA-2015-7-00040171,IA,2015,26.5192602741,90.3942992225,22,-1.56760262890985,22,3.13636363636364,40171,4,R,dhs_train/IA-2015-7-00040171.npz
103,103,103,0.31743842,-0.374154,-0.18680789,-0.47673616,104,IA-2015-7-00040172,IA,2015,27.5683401609,95.5557622941,21,0.6212284216126,21,3.0,40172,4,U,dhs_train/IA-2015-7-00040172.npz
104,104,104,0.15416004,-0.025425427,-0.059878517,-0.32021004,105,IA-2015-7-00040174,IA,2015,26.7013400106,93.924901606,22,-1.180496698755,22,3.0,40174,4,R,dhs_train/IA-2015-7-00040174.npz
105,105,105,0.052034795,0.1137325,0.04865896,-0.298499,106,IA-2015-7-00040177,IA,2015,26.0909179582,90.5552600146,22,-0.497660573488051,22,3.0,40177,4,R,dhs_train/IA-2015-7-00040177.npz
106,106,106,0.122442916,-0.019467445,-0.029052543,-0.30560252,107,IA-2015-7-00040185,IA,2015,27.4544530335,94.3588538859,22,-0.733092473775382,22,3.0,40185,4,R,dhs_train/IA-2015-7-00040185.npz
107,107,107,0.04495549,-0.14913516,0.029038733,-0.3258478,108,IA-2015-7-00040186,IA,2015,26.5828829709,92.1099394988,22,-1.30262894584965,22,3.09090909090909,40186,4,R,dhs_train/IA-2015-7-00040186.npz
108,108,108,0.031945765,0.36155486,0.032217663,-0.27392596,109,IA-2015-7-00040194,IA,2015,25.9757101282,91.2262416916,22,0.306597195131503,22,3.04545454545455,40194,4,R,dhs_train/IA-2015-7-00040194.npz
109,109,109,-0.055510912,0.6761111,0.14240868,-0.1910868,110,IA-2015-7-00040203,IA,2015,26.0448123504,91.1490849108,20,-1.27551242422079,20,3.0,40203,4,R,dhs_train/IA-2015-7-00040203.npz
110,110,110,0.17400691,-0.68477774,-0.1300675,-0.36628833,111,IA-2015-7-00040206,IA,2015,26.6848515855,92.3301530459,21,-1.65258297596389,21,3.0952380952381,40206,4,R,dhs_train/IA-2015-7-00040206.npz
111,111,111,0.048243843,0.40536448,0.074108794,-0.23779163,112,IA-2015-7-00040218,IA,2015,26.212806029,92.344144937,22,-0.468911534890188,22,2.86363636363636,40218,4,R,dhs_train/IA-2015-7-00040218.npz
112,112,112,0.08934331,-0.11272526,-0.022157269,-0.28199917,113,IA-2015-7-00040220,IA,2015,26.6471817271,91.2340071757,21,-0.33684570763176,21,3.14285714285714,40220,4,R,dhs_train/IA-2015-7-00040220.npz
113,113,113,-0.25501537,1.0642278,0.36764234,-0.2901055,114,IA-2015-7-00040221,IA,2015,27.416635774,95.1090453648,22,-0.949235205003934,22,3.09090909090909,40221,4,R,dhs_train/IA-2015-7-00040221.npz
114,114,114,0.10804337,0.37834775,0.02003349,-0.3071142,115,IA-2015-7-00040232,IA,2015,26.2788204229,93.9096217081,20,-0.0874362047980469,20,3.0,40232,4,U,dhs_train/IA-2015-7-00040232.npz
115,115,115,0.25027734,-0.38928866,-0.1598831,-0.33048305,116,IA-2015-7-00040237,IA,2015,26.6386074245,94.3251240764,22,0.106550760482712,22,3.13636363636364,40237,4,R,dhs_train/IA-2015-7-00040237.npz
116,116,116,0.19164757,-0.5290948,-0.0849664,-0.3463836,117,IA-2015-7-00040238,IA,2015,26.2344116637,93.1980857798,20,-1.94568793703559,20,2.55,40238,4,R,dhs_train/IA-2015-7-00040238.npz
117,117,117,0.1826529,-0.20441663,-0.08058215,-0.36605692,118,IA-2015-7-00040240,IA,2015,26.6889583986,92.4327130417,20,-0.988820940794505,20,3.0,40240,4,R,dhs_train/IA-2015-7-00040240.npz
118,118,118,0.18093492,-0.13595872,-0.11421,-0.34089226,119,IA-2015-7-00040244,IA,2015,27.1311433982,94.420024901,22,-0.55416470848248,22,3.04545454545455,40244,4,R,dhs_train/IA-2015-7-00040244.npz
119,119,119,0.15591119,-0.20336762,-0.12724568,-0.33397374,120,IA-2015-7-00040253,IA,2015,26.6812374526,94.2543349687,21,-0.618224789455416,21,2.66666666666667,40253,4,R,dhs_train/IA-2015-7-00040253.npz
120,120,120,0.042403243,-0.1016078,0.03415755,-0.32349962,121,IA-2015-7-00040261,IA,2015,26.5964255867,92.1122029408,21,-1.34605324151233,21,3.04761904761905,40261,4,R,dhs_train/IA-2015-7-00040261.npz
121,121,121,0.24887475,-0.4165531,-0.15035369,-0.3765411,122,IA-2015-7-00040265,IA,2015,27.7511119767,95.1068955459,22,-0.627257242757631,22,3.0,40265,4,R,dhs_train/IA-2015-7-00040265.npz
122,122,122,0.12888266,-0.13195246,-0.06397936,-0.31325945,123,IA-2015-7-00040269,IA,2015,27.3194682102,95.2168908208,22,-0.42457025110543,22,3.0,40269,4,R,dhs_train/IA-2015-7-00040269.npz
