"","DHSID_EA","cname","year","lat","lon","n_asset","asset_index","n_water","water_index","cluster_id","adm1dhs","urban","path"
"16","IA-2015-7-00030196","IA",2015,27.343540251,93.03633437,18,-1.23818990092037,18,1.33333333333333,30196,3,"R","dhs_train/IA-2015-7-00030196.npz"
"17","IA-2015-7-00030204","IA",2015,28.451791167,95.117634221,19,0.982904523207519,19,3.10526315789474,30204,3,"R","dhs_train/IA-2015-7-00030204.npz"
"18","IA-2015-7-00030219","IA",2015,26.886815496,95.270142742,22,-1.18449027951866,22,1.18181818181818,30219,3,"R","dhs_train/IA-2015-7-00030219.npz"
"19","IA-2015-7-00030233","IA",2015,27.571727645,95.892029036,20,-1.56749024190552,20,3,30233,3,"R","dhs_train/IA-2015-7-00030233.npz"
"20","IA-2015-7-00030236","IA",2015,27.551507896,93.112460149,22,-2.8321992668713,22,1,30236,3,"R","dhs_train/IA-2015-7-00030236.npz"
"21","IA-2015-7-00030240","IA",2015,27.602001112,95.819020205,21,-0.55356266468179,21,3.0952380952381,30240,3,"R","dhs_train/IA-2015-7-00030240.npz"
"22","IA-2015-7-00030266","IA",2015,27.6400017,95.944283649,20,-1.04737395846045,20,3,30266,3,"R","dhs_train/IA-2015-7-00030266.npz"
"23","IA-2015-7-00030269","IA",2015,27.150685802,93.203554482,20,-0.0172653419745388,20,3,30269,3,"R","dhs_train/IA-2015-7-00030269.npz"
"24","IA-2015-7-00030276","IA",2015,27.764306461,95.903228342,20,-0.34642175397532,20,3,30276,3,"R","dhs_train/IA-2015-7-00030276.npz"
"25","IA-2015-7-00030281","IA",2015,27.498106431,96.074604913,22,0.126569627100581,22,3.09090909090909,30281,3,"R","dhs_train/IA-2015-7-00030281.npz"
"26","IA-2015-7-00030289","IA",2015,28.18930612,94.114855096,22,0.804679969127257,22,2.81818181818182,30289,3,"R","dhs_train/IA-2015-7-00030289.npz"
"27","IA-2015-7-00030313","IA",2015,27.577851614,95.945775725,22,-1.32717018926482,22,3,30313,3,"R","dhs_train/IA-2015-7-00030313.npz"
"28","IA-2015-7-00030314","IA",2015,27.63609666,95.900612653,21,0.21041220165946,21,3,30314,3,"R","dhs_train/IA-2015-7-00030314.npz"
"29","IA-2015-7-00030403","IA",2015,27.472425946,93.074147263,18,-1.6533730666668,18,2.33333333333333,30403,3,"R","dhs_train/IA-2015-7-00030403.npz"
"30","IA-2015-7-00030420","IA",2015,27.679155319,95.849182833,21,0.437789939285893,21,3.0952380952381,30420,3,"U","dhs_train/IA-2015-7-00030420.npz"
"31","IA-2015-7-00030426","IA",2015,27.638078752,95.819466024,22,-1.53892703091208,22,3,30426,3,"R","dhs_train/IA-2015-7-00030426.npz"
"32","IA-2015-7-00030432","IA",2015,27.817740693,96.049795808,20,-1.07450359048737,20,3.1,30432,3,"R","dhs_train/IA-2015-7-00030432.npz"
"33","IA-2015-7-00030433","IA",2015,27.259197894,93.070855284,18,-1.38727456646842,18,2.33333333333333,30433,3,"R","dhs_train/IA-2015-7-00030433.npz"
"34","IA-2015-7-00030467","IA",2015,27.564930575,95.999823896,21,0.715297824944358,21,3.14285714285714,30467,3,"R","dhs_train/IA-2015-7-00030467.npz"
"35","IA-2015-7-00030509","IA",2015,27.524007813,96.182347536,22,-0.0049562012153592,22,1.40909090909091,30509,3,"R","dhs_train/IA-2015-7-00030509.npz"
"36","IA-2015-7-00030521","IA",2015,27.666243553,95.899184295,22,-0.67012351353276,22,3,30521,3,"R","dhs_train/IA-2015-7-00030521.npz"
"37","IA-2015-7-00030548","IA",2015,26.920371761,95.491228601,22,0.0215857746748284,22,3,30548,3,"R","dhs_train/IA-2015-7-00030548.npz"
"38","IA-2015-7-00030581","IA",2015,27.514845186,93.017956852,18,-0.903703558781852,18,3,30581,3,"R","dhs_train/IA-2015-7-00030581.npz"
"39","IA-2015-7-00030588","IA",2015,28.035794744,95.318560122,21,0.264736694864825,21,3,30588,3,"R","dhs_train/IA-2015-7-00030588.npz"
"40","IA-2015-7-00030625","IA",2015,27.515970452,95.892854345,16,0.577617191069099,16,3,30625,3,"R","dhs_train/IA-2015-7-00030625.npz"
"41","IA-2015-7-00030642","IA",2015,27.068182093,93.830093673,20,0.22865812267562,20,3.05,30642,3,"R","dhs_train/IA-2015-7-00030642.npz"
"42","IA-2015-7-00030649","IA",2015,27.899812567,95.545346597,21,0.700888905796959,21,3.0952380952381,30649,3,"R","dhs_train/IA-2015-7-00030649.npz"
"43","IA-2015-7-00030654","IA",2015,27.891344357,96.07039756,21,0.0897812743547879,21,2.9047619047619,30654,3,"R","dhs_train/IA-2015-7-00030654.npz"
"44","IA-2015-7-00030669","IA",2015,28.801205248,94.239107023,19,0.617121175056923,19,1,30669,3,"R","dhs_train/IA-2015-7-00030669.npz"
"45","IA-2015-7-00030673","IA",2015,28.157266939,95.750553178,20,1.2679071813507,20,3.1,30673,3,"R","dhs_train/IA-2015-7-00030673.npz"
"46","IA-2015-7-00030681","IA",2015,28.27300494,94.128715395,21,0.9459366289578,21,2.71428571428571,30681,3,"R","dhs_train/IA-2015-7-00030681.npz"
"47","IA-2015-7-00030688","IA",2015,27.506552909,96.259244429,22,-0.545003088093867,22,2.40909090909091,30688,3,"R","dhs_train/IA-2015-7-00030688.npz"
"48","IA-2015-7-00030692","IA",2015,27.615784519,91.840855592,22,0.357705794398715,22,3,30692,3,"R","dhs_train/IA-2015-7-00030692.npz"
"49","IA-2015-7-00030700","IA",2015,27.556301984,96.32373806,22,-1.70015851198482,22,1,30700,3,"R","dhs_train/IA-2015-7-00030700.npz"
"50","IA-2015-7-00030704","IA",2015,26.697119301,95.343802431,22,-1.71386199878536,22,1,30704,3,"R","dhs_train/IA-2015-7-00030704.npz"
"51","IA-2015-7-00030706","IA",2015,28.791315607,94.263555193,20,0.833213401950242,20,1.55,30706,3,"R","dhs_train/IA-2015-7-00030706.npz"
"52","IA-2015-7-00030736","IA",2015,27.015951772,95.212234066,21,-0.938933106297706,21,1,30736,3,"R","dhs_train/IA-2015-7-00030736.npz"
"53","IA-2015-7-00030751","IA",2015,27.475448548,96.125978868,22,-0.177101967280304,22,2.72727272727273,30751,3,"R","dhs_train/IA-2015-7-00030751.npz"
"54","IA-2015-7-00030820","IA",2015,27.971714582,95.881641868,19,-2.15229681077621,19,1.94736842105263,30820,3,"R","dhs_train/IA-2015-7-00030820.npz"
"55","IA-2015-7-00040001","IA",2015,26.391023176,91.4253518392,22,0.406071747094477,22,3.13636363636364,40001,4,"U","dhs_train/IA-2015-7-00040001.npz"
"56","IA-2015-7-00040002","IA",2015,25.1723017327,93.149887157,21,-1.52211845534819,21,2.66666666666667,40002,4,"R","dhs_train/IA-2015-7-00040002.npz"
"57","IA-2015-7-00040007","IA",2015,26.1439614026,89.7819125292,20,-1.59712504285299,20,3,40007,4,"R","dhs_train/IA-2015-7-00040007.npz"
"58","IA-2015-7-00040011","IA",2015,26.9282907436,94.1674960255,21,-1.25137784473316,21,3,40011,4,"R","dhs_train/IA-2015-7-00040011.npz"
"59","IA-2015-7-00040013","IA",2015,27.2929310285,95.7304949865,22,-0.750497951755297,22,2.90909090909091,40013,4,"R","dhs_train/IA-2015-7-00040013.npz"
"60","IA-2015-7-00040014","IA",2015,26.1902332272,91.0783038802,20,-2.42932131870537,20,2.95,40014,4,"R","dhs_train/IA-2015-7-00040014.npz"
"61","IA-2015-7-00040024","IA",2015,26.4924266443,92.8046238384,18,-1.22446970183292,18,3,40024,4,"R","dhs_train/IA-2015-7-00040024.npz"
"62","IA-2015-7-00040028","IA",2015,27.1014809462,93.9869747615,20,-1.53586071135753,20,3,40028,4,"R","dhs_train/IA-2015-7-00040028.npz"
"63","IA-2015-7-00040035","IA",2015,26.1646647111,92.8589566984,22,-1.58826135341982,22,2.77272727272727,40035,4,"R","dhs_train/IA-2015-7-00040035.npz"
"64","IA-2015-7-00040039","IA",2015,26.4151056352,90.4166787916,22,-1.92149714198123,22,3.13636363636364,40039,4,"R","dhs_train/IA-2015-7-00040039.npz"
"65","IA-2015-7-00040044","IA",2015,26.4659252321,91.9244429284,21,-1.09169848782359,21,3,40044,4,"R","dhs_train/IA-2015-7-00040044.npz"
"66","IA-2015-7-00040050","IA",2015,25.9763857143,90.1325609975,22,-1.51915569703291,22,3,40050,4,"R","dhs_train/IA-2015-7-00040050.npz"
"67","IA-2015-7-00040051","IA",2015,27.3882462769,95.2109713688,21,-0.48441062283608,21,3,40051,4,"R","dhs_train/IA-2015-7-00040051.npz"
"68","IA-2015-7-00040053","IA",2015,26.3669268471,90.8194414498,22,-1.08532298393908,22,3,40053,4,"R","dhs_train/IA-2015-7-00040053.npz"
"69","IA-2015-7-00040055","IA",2015,26.8228824005,93.0820737249,21,-0.486868827991933,21,3.14285714285714,40055,4,"R","dhs_train/IA-2015-7-00040055.npz"
"70","IA-2015-7-00040059","IA",2015,26.1000530655,90.5442927734,22,-0.120480403482337,22,3.13636363636364,40059,4,"R","dhs_train/IA-2015-7-00040059.npz"
"71","IA-2015-7-00040062","IA",2015,26.5507842961,90.7817990079,20,-2.3881196904067,20,3.15,40062,4,"R","dhs_train/IA-2015-7-00040062.npz"
"72","IA-2015-7-00040064","IA",2015,26.5443942568,91.5760850068,21,-0.557877888985228,21,3,40064,4,"R","dhs_train/IA-2015-7-00040064.npz"
"73","IA-2015-7-00040066","IA",2015,26.35271055,90.1210718643,21,-1.32109173684034,21,3.0952380952381,40066,4,"R","dhs_train/IA-2015-7-00040066.npz"
"74","IA-2015-7-00040081","IA",2015,27.3397376616,95.3962564995,22,-1.00393133778533,22,3.13636363636364,40081,4,"R","dhs_train/IA-2015-7-00040081.npz"
"75","IA-2015-7-00040086","IA",2015,26.4150515517,90.5850445415,21,-2.40470430264155,21,1.95238095238095,40086,4,"R","dhs_train/IA-2015-7-00040086.npz"
"76","IA-2015-7-00040088","IA",2015,26.6449669048,94.4218390719,22,-1.03599320053516,22,3.13636363636364,40088,4,"R","dhs_train/IA-2015-7-00040088.npz"
"77","IA-2015-7-00040099","IA",2015,26.344872815,92.1732424667,20,-1.67897966411463,20,3,40099,4,"R","dhs_train/IA-2015-7-00040099.npz"
"78","IA-2015-7-00040108","IA",2015,27.1936748143,94.4621557463,20,-0.79510163276495,20,3,40108,4,"U","dhs_train/IA-2015-7-00040108.npz"
"79","IA-2015-7-00040109","IA",2015,24.7385019921,92.5294871512,22,-2.3710299203761,22,2.54545454545455,40109,4,"R","dhs_train/IA-2015-7-00040109.npz"
"80","IA-2015-7-00040110","IA",2015,27.1593596394,94.7280700339,22,-0.584032017512315,22,3,40110,4,"R","dhs_train/IA-2015-7-00040110.npz"
"81","IA-2015-7-00040113","IA",2015,27.5289549763,95.7778746501,21,-0.906023166767599,21,3,40113,4,"R","dhs_train/IA-2015-7-00040113.npz"
"82","IA-2015-7-00040114","IA",2015,26.2878051234,92.4434548165,23,-0.739667178990704,23,3.08695652173913,40114,4,"R","dhs_train/IA-2015-7-00040114.npz"
"83","IA-2015-7-00040117","IA",2015,26.440844211,91.4466880114,20,0.0187099516433592,20,3.1,40117,4,"U","dhs_train/IA-2015-7-00040117.npz"
"84","IA-2015-7-00040121","IA",2015,26.5126074298,91.1169198135,22,-1.73845491355219,22,3,40121,4,"R","dhs_train/IA-2015-7-00040121.npz"
"85","IA-2015-7-00040123","IA",2015,26.5709952181,91.2631404634,21,-0.915148083178614,21,3.14285714285714,40123,4,"R","dhs_train/IA-2015-7-00040123.npz"
"86","IA-2015-7-00040128","IA",2015,25.9362801723,91.1194452075,22,-0.393276471741627,22,3.13636363636364,40128,4,"R","dhs_train/IA-2015-7-00040128.npz"
"87","IA-2015-7-00040131","IA",2015,26.2792388759,91.1011422635,22,-1.34594933591398,22,3,40131,4,"R","dhs_train/IA-2015-7-00040131.npz"
"88","IA-2015-7-00040138","IA",2015,26.0122278272,92.9049858088,21,-0.0845376921788741,21,3,40138,4,"R","dhs_train/IA-2015-7-00040138.npz"
"89","IA-2015-7-00040139","IA",2015,27.4999449934,94.4808021326,22,-1.71637025266518,22,2.95454545454545,40139,4,"R","dhs_train/IA-2015-7-00040139.npz"
"90","IA-2015-7-00040146","IA",2015,24.4083914861,92.5110482821,21,-2.19620219390332,21,1.61904761904762,40146,4,"R","dhs_train/IA-2015-7-00040146.npz"
"91","IA-2015-7-00040150","IA",2015,26.555916857,91.7317692697,20,-0.659312681221771,20,3,40150,4,"R","dhs_train/IA-2015-7-00040150.npz"
"92","IA-2015-7-00040154","IA",2015,26.4743902464,91.1297636697,22,-1.43905895578945,22,3,40154,4,"R","dhs_train/IA-2015-7-00040154.npz"
"93","IA-2015-7-00040156","IA",2015,25.90353211,92.9073034915,21,-0.756430736319326,21,3,40156,4,"R","dhs_train/IA-2015-7-00040156.npz"
"94","IA-2015-7-00040157","IA",2015,26.5808580993,91.2716803876,22,-1.32008308517475,22,3,40157,4,"R","dhs_train/IA-2015-7-00040157.npz"
"95","IA-2015-7-00040160","IA",2015,26.4112661107,91.3501234478,21,0.414667347094763,21,3,40160,4,"U","dhs_train/IA-2015-7-00040160.npz"
"96","IA-2015-7-00040161","IA",2015,26.4583232892,90.9102283617,22,-0.372391475925477,22,3.09090909090909,40161,4,"R","dhs_train/IA-2015-7-00040161.npz"
"97","IA-2015-7-00040164","IA",2015,24.8204723615,92.5000622487,22,-0.785735007589756,22,2.90909090909091,40164,4,"R","dhs_train/IA-2015-7-00040164.npz"
"98","IA-2015-7-00040165","IA",2015,26.1854764941,89.7550811547,21,-1.99913591322143,21,3,40165,4,"R","dhs_train/IA-2015-7-00040165.npz"
"99","IA-2015-7-00040166","IA",2015,26.278670666,90.6652830913,21,-1.4197272563581,21,3.0952380952381,40166,4,"R","dhs_train/IA-2015-7-00040166.npz"
"100","IA-2015-7-00040167","IA",2015,27.1816603217,94.2720174168,19,-0.773686215428301,19,3,40167,4,"R","dhs_train/IA-2015-7-00040167.npz"
"101","IA-2015-7-00040169","IA",2015,26.3710427452,92.6413816581,21,-0.771019632375526,21,3,40169,4,"R","dhs_train/IA-2015-7-00040169.npz"
"102","IA-2015-7-00040170","IA",2015,26.4186115962,92.7633625669,20,-1.86938892618143,20,3,40170,4,"R","dhs_train/IA-2015-7-00040170.npz"
"103","IA-2015-7-00040171","IA",2015,26.5192602741,90.3942992225,22,-1.56760262890985,22,3.13636363636364,40171,4,"R","dhs_train/IA-2015-7-00040171.npz"
"104","IA-2015-7-00040172","IA",2015,27.5683401609,95.5557622941,21,0.6212284216126,21,3,40172,4,"U","dhs_train/IA-2015-7-00040172.npz"
"105","IA-2015-7-00040174","IA",2015,26.7013400106,93.924901606,22,-1.180496698755,22,3,40174,4,"R","dhs_train/IA-2015-7-00040174.npz"
"106","IA-2015-7-00040177","IA",2015,26.0909179582,90.5552600146,22,-0.497660573488051,22,3,40177,4,"R","dhs_train/IA-2015-7-00040177.npz"
"107","IA-2015-7-00040185","IA",2015,27.4544530335,94.3588538859,22,-0.733092473775382,22,3,40185,4,"R","dhs_train/IA-2015-7-00040185.npz"
"108","IA-2015-7-00040186","IA",2015,26.5828829709,92.1099394988,22,-1.30262894584965,22,3.09090909090909,40186,4,"R","dhs_train/IA-2015-7-00040186.npz"
"109","IA-2015-7-00040194","IA",2015,25.9757101282,91.2262416916,22,0.306597195131503,22,3.04545454545455,40194,4,"R","dhs_train/IA-2015-7-00040194.npz"
"110","IA-2015-7-00040203","IA",2015,26.0448123504,91.1490849108,20,-1.27551242422079,20,3,40203,4,"R","dhs_train/IA-2015-7-00040203.npz"
"111","IA-2015-7-00040206","IA",2015,26.6848515855,92.3301530459,21,-1.65258297596389,21,3.0952380952381,40206,4,"R","dhs_train/IA-2015-7-00040206.npz"
"112","IA-2015-7-00040218","IA",2015,26.212806029,92.344144937,22,-0.468911534890188,22,2.86363636363636,40218,4,"R","dhs_train/IA-2015-7-00040218.npz"
"113","IA-2015-7-00040220","IA",2015,26.6471817271,91.2340071757,21,-0.33684570763176,21,3.14285714285714,40220,4,"R","dhs_train/IA-2015-7-00040220.npz"
"114","IA-2015-7-00040221","IA",2015,27.416635774,95.1090453648,22,-0.949235205003934,22,3.09090909090909,40221,4,"R","dhs_train/IA-2015-7-00040221.npz"
"115","IA-2015-7-00040232","IA",2015,26.2788204229,93.9096217081,20,-0.0874362047980469,20,3,40232,4,"U","dhs_train/IA-2015-7-00040232.npz"
"116","IA-2015-7-00040237","IA",2015,26.6386074245,94.3251240764,22,0.106550760482712,22,3.13636363636364,40237,4,"R","dhs_train/IA-2015-7-00040237.npz"
"117","IA-2015-7-00040238","IA",2015,26.2344116637,93.1980857798,20,-1.94568793703559,20,2.55,40238,4,"R","dhs_train/IA-2015-7-00040238.npz"
"118","IA-2015-7-00040240","IA",2015,26.6889583986,92.4327130417,20,-0.988820940794505,20,3,40240,4,"R","dhs_train/IA-2015-7-00040240.npz"
"119","IA-2015-7-00040244","IA",2015,27.1311433982,94.420024901,22,-0.55416470848248,22,3.04545454545455,40244,4,"R","dhs_train/IA-2015-7-00040244.npz"
"120","IA-2015-7-00040253","IA",2015,26.6812374526,94.2543349687,21,-0.618224789455416,21,2.66666666666667,40253,4,"R","dhs_train/IA-2015-7-00040253.npz"
"121","IA-2015-7-00040261","IA",2015,26.5964255867,92.1122029408,21,-1.34605324151233,21,3.04761904761905,40261,4,"R","dhs_train/IA-2015-7-00040261.npz"
"122","IA-2015-7-00040265","IA",2015,27.7511119767,95.1068955459,22,-0.627257242757631,22,3,40265,4,"R","dhs_train/IA-2015-7-00040265.npz"
"123","IA-2015-7-00040269","IA",2015,27.3194682102,95.2168908208,22,-0.42457025110543,22,3,40269,4,"R","dhs_train/IA-2015-7-00040269.npz"
"124","IA-2015-7-00040270","IA",2015,26.5880178877,91.9303248391,22,-0.707142763177553,22,3,40270,4,"R","dhs_train/IA-2015-7-00040270.npz"
"125","IA-2015-7-00040271","IA",2015,26.4865468036,91.240394502,22,0.0726527342210385,22,3.09090909090909,40271,4,"R","dhs_train/IA-2015-7-00040271.npz"
"126","IA-2015-7-00040277","IA",2015,27.5301362646,94.5151959866,22,-0.673917180376873,22,3,40277,4,"R","dhs_train/IA-2015-7-00040277.npz"
"127","IA-2015-7-00040279","IA",2015,26.1757792232,93.9190523874,21,-1.37084773617501,21,3,40279,4,"R","dhs_train/IA-2015-7-00040279.npz"
"128","IA-2015-7-00040287","IA",2015,27.6309275745,95.5122833983,22,-1.99677595932289,22,3.04545454545455,40287,4,"R","dhs_train/IA-2015-7-00040287.npz"
"129","IA-2015-7-00040294","IA",2015,26.3838601478,92.3964224467,21,-1.7602677253297,21,3,40294,4,"R","dhs_train/IA-2015-7-00040294.npz"
"130","IA-2015-7-00040297","IA",2015,25.9870918117,90.6539458965,22,0.532240414137339,22,3,40297,4,"R","dhs_train/IA-2015-7-00040297.npz"
"131","IA-2015-7-00040300","IA",2015,27.5925768012,95.4229654669,22,-1.6901707043349,22,3.09090909090909,40300,4,"R","dhs_train/IA-2015-7-00040300.npz"
"132","IA-2015-7-00040301","IA",2015,26.0569678753,90.5739748793,21,-1.79184069865732,21,3,40301,4,"R","dhs_train/IA-2015-7-00040301.npz"
"133","IA-2015-7-00040303","IA",2015,26.2434995053,90.1158212943,22,-0.282906448797454,22,3,40303,4,"R","dhs_train/IA-2015-7-00040303.npz"
"134","IA-2015-7-00040307","IA",2015,27.7483114059,95.6039999974,22,-1.29234804750271,22,2.90909090909091,40307,4,"R","dhs_train/IA-2015-7-00040307.npz"
"135","IA-2015-7-00040312","IA",2015,27.553651994,94.4807103228,21,-1.48024318249553,21,3,40312,4,"R","dhs_train/IA-2015-7-00040312.npz"
"136","IA-2015-7-00040316","IA",2015,26.3744774166,94.0967560405,22,-1.29724301652088,22,3,40316,4,"R","dhs_train/IA-2015-7-00040316.npz"
"137","IA-2015-7-00040318","IA",2015,24.3938873613,92.5008752371,22,-1.71836942207005,22,2.95454545454545,40318,4,"R","dhs_train/IA-2015-7-00040318.npz"
"138","IA-2015-7-00040324","IA",2015,27.0707431184,94.651862693,22,-1.32708764182772,22,3,40324,4,"R","dhs_train/IA-2015-7-00040324.npz"
"139","IA-2015-7-00040325","IA",2015,26.388797167,92.3042418395,21,-1.25267642005649,21,3,40325,4,"R","dhs_train/IA-2015-7-00040325.npz"
"140","IA-2015-7-00040333","IA",2015,26.2817346141,89.7413681617,22,-1.77048381505894,22,3.09090909090909,40333,4,"R","dhs_train/IA-2015-7-00040333.npz"
"141","IA-2015-7-00040337","IA",2015,24.7172921684,92.5675901936,21,-2.12644020615016,21,2.14285714285714,40337,4,"R","dhs_train/IA-2015-7-00040337.npz"
"142","IA-2015-7-00040338","IA",2015,26.2507479423,90.2142625128,22,-1.24634453150283,22,3,40338,4,"R","dhs_train/IA-2015-7-00040338.npz"
"143","IA-2015-7-00040340","IA",2015,26.1026598559,92.8953034431,21,-1.16180680829918,21,3.04761904761905,40340,4,"R","dhs_train/IA-2015-7-00040340.npz"
"144","IA-2015-7-00040345","IA",2015,26.181790216,90.6342624139,18,-0.234524399456114,18,3,40345,4,"U","dhs_train/IA-2015-7-00040345.npz"
"145","IA-2015-7-00040349","IA",2015,27.4729013267,95.4003428639,22,-1.53754104650771,22,3.09090909090909,40349,4,"R","dhs_train/IA-2015-7-00040349.npz"
"146","IA-2015-7-00040363","IA",2015,26.5796562329,91.7782219264,21,-1.50004319794836,21,3,40363,4,"R","dhs_train/IA-2015-7-00040363.npz"
"147","IA-2015-7-00040364","IA",2015,26.3306559125,91.7032695677,21,-0.45461721692211,21,3,40364,4,"R","dhs_train/IA-2015-7-00040364.npz"
"148","IA-2015-7-00040367","IA",2015,26.4286054334,89.9334805487,19,-1.55885213790638,19,3,40367,4,"R","dhs_train/IA-2015-7-00040367.npz"
"149","IA-2015-7-00040373","IA",2015,26.0742290088,90.1195987433,22,-1.81343993223604,22,3,40373,4,"R","dhs_train/IA-2015-7-00040373.npz"
"150","IA-2015-7-00040381","IA",2015,24.5197686368,92.5347453745,20,-0.670641471712272,20,3,40381,4,"R","dhs_train/IA-2015-7-00040381.npz"
"151","IA-2015-7-00040390","IA",2015,26.2744750489,90.9021477455,21,-1.63061030394309,21,3,40390,4,"R","dhs_train/IA-2015-7-00040390.npz"
"152","IA-2015-7-00040401","IA",2015,27.3517227724,94.5436728627,23,-0.783462584858398,23,3,40401,4,"R","dhs_train/IA-2015-7-00040401.npz"
"153","IA-2015-7-00040410","IA",2015,25.9987623876,90.1707416694,21,-1.95229395789643,21,3,40410,4,"R","dhs_train/IA-2015-7-00040410.npz"
"154","IA-2015-7-00040411","IA",2015,27.3413264785,94.4378971929,20,-1.67143033372541,20,3,40411,4,"R","dhs_train/IA-2015-7-00040411.npz"
"155","IA-2015-7-00040413","IA",2015,26.6709528146,94.4046430649,22,-0.704195810725763,22,2.63636363636364,40413,4,"R","dhs_train/IA-2015-7-00040413.npz"
"156","IA-2015-7-00040414","IA",2015,26.3202446279,91.0647812866,22,-0.282982754452638,22,3.09090909090909,40414,4,"R","dhs_train/IA-2015-7-00040414.npz"
"157","IA-2015-7-00040418","IA",2015,26.6525217434,91.9548597652,22,-0.653809400521013,22,3.04545454545455,40418,4,"R","dhs_train/IA-2015-7-00040418.npz"
"158","IA-2015-7-00040419","IA",2015,27.2702628835,95.2531217966,21,-0.105526932101709,21,3.0952380952381,40419,4,"R","dhs_train/IA-2015-7-00040419.npz"
"159","IA-2015-7-00040424","IA",2015,26.2408606762,91.2463098932,22,-1.66537827885358,22,3,40424,4,"R","dhs_train/IA-2015-7-00040424.npz"
"160","IA-2015-7-00040428","IA",2015,27.8947572834,95.7572806248,22,-0.62679393570262,22,3.09090909090909,40428,4,"R","dhs_train/IA-2015-7-00040428.npz"
"161","IA-2015-7-00040430","IA",2015,27.4816229962,94.9014838364,20,0.436565902302593,20,3.1,40430,4,"U","dhs_train/IA-2015-7-00040430.npz"
"162","IA-2015-7-00040434","IA",2015,26.3691330042,91.9768641178,22,-0.770887928848074,22,3.09090909090909,40434,4,"R","dhs_train/IA-2015-7-00040434.npz"
"163","IA-2015-7-00040436","IA",2015,26.0759340599,90.3660784983,22,-1.65959912544232,22,3,40436,4,"R","dhs_train/IA-2015-7-00040436.npz"
"164","IA-2015-7-00040437","IA",2015,24.8479477538,92.5059458652,20,-1.60515588617751,20,2.9,40437,4,"R","dhs_train/IA-2015-7-00040437.npz"
"165","IA-2015-7-00040440","IA",2015,26.6755921775,92.5021688664,22,-1.37513934271563,22,3,40440,4,"R","dhs_train/IA-2015-7-00040440.npz"
"166","IA-2015-7-00040444","IA",2015,26.0987027057,90.3501129583,22,-2.36277404247633,22,3.04545454545455,40444,4,"R","dhs_train/IA-2015-7-00040444.npz"
"167","IA-2015-7-00040447","IA",2015,26.4271744247,91.1082137473,22,-1.19287373889441,22,3,40447,4,"R","dhs_train/IA-2015-7-00040447.npz"
"168","IA-2015-7-00040452","IA",2015,26.3536257928,91.5215774665,22,-0.946961443290085,22,3,40452,4,"R","dhs_train/IA-2015-7-00040452.npz"
"169","IA-2015-7-00040454","IA",2015,26.067509873,90.847144942,22,-1.14248141235,22,3.09090909090909,40454,4,"R","dhs_train/IA-2015-7-00040454.npz"
